"country","mpw_oceans_2021","mpw_2021","pWaste2016","pWastePercap2016","pWaste2010"
"Cyprus","3","837","81473","69.6200","100713"
"Georgia","3","307","25637","6.8800","97443"
"Namibia","2","20892","49176","20.8500","114222"
"Antigua and Barbuda","2","627","4321","45.7100","22804"
"Somalia","2","42","174457","12.3000","237569"
"Jordan","1","124425","446941","46.7900","377506"
"Oman","1","1251","405081","90.4400","93251"
"Saint Kitts and Nevis","1","97","7744","150.0100","12280"
"Turkey","","1656110","959515","12.0200","5596657"
"Zimbabwe","0","524865","413802","",""
"Burkina Faso","0","317298","239327","12.8400",""
"Comoros","0","59158","4657","5.8500","50599"
"Lesotho","0","30391","8622","4.1600",""
"Cape Verde","0","3568","","","11919"
"Finland","0","2621","40159","7.3100","458084"
"Samoa","0","1738","3765","19.3600","7000"
"Slovakia","0","1719","199500","36.7400",""
"Qatar","0","1532","167332","63.0400","103933"
"Norway","0","1494","49878","9.5300","499682"
"Bahrain","0","1043","70444","49.4100","59785"
"Tonga","0","666","2392","23.6500","8476"
"Mauritius","0","299","54254","42.9400","104971"
"Malta","0","259","32453","71.2700","32377"
"Reunion","0","233","","",""
"Iceland","0","151","48572","144.8000","32620"
"Kiribati","0","74","5894","52.3800","3859"
"Maldives","0","60","6740","14.1700","43134"
"Seychelles","0","33","5338","56.3800","11730"
"Montenegro","0","16","62544","100.5000","32557"
"Marshall Islands","0","16","1127","19.5100","3674"
"Saint Martin","0","8","2415","66.9700",""
"Monaco","0","5","507","13.3100","3412"
"Sint Maarten","0","3","","","3263"
"Ethiopia","","","154743","1.4900",""
"Uganda","","","636506","16.0500",""
"Afghanistan","","","405254","11.4500",""
"Uzbekistan","","","115565","3.6300",""
"Nepal","","","267823","9.8200",""
"Niger","","","85628","4.1200","5961750"
"Mali","","","44152","2.4600",""
"Malawi","","","106140","6.1700",""
"Zambia","","","305198","",""
"Chad","","","98746","6.7800",""
"Rwanda","","","328873","28.1800",""
"Burundi","","","103253","9.8400",""
"Bolivia","","","232092","21.0400",""
"Cuba","","","270533","23.8700","368154"
"South Sudan","","","214119","19.7700",""
"Czech Republic","","","74573","7.0600",""
"Azerbaijan","","","228304","23.4000",""
"Hungary","","","483046","49.2200",""
"Tajikistan","","","176179","20.3400",""
"Belarus","","","507334","53.3900",""
"Austria","","","542461","62.0900",""
"Switzerland","","","911616","108.8700",""
